City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
120,Kraksaan,ID,84.58,overcast clouds,-7.7585,113.3962,Asrama Hati
121,Jinka,ET,82.9,light rain,5.65,36.65,
123,Kokopo,PG,80.1,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
124,Tevaitoa,PF,82.35,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
126,Touros,BR,75.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
127,Cam Ranh,VN,84.2,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
129,Butaritari,KI,82.06,broken clouds,3.0707,172.7902,Isles Sunset Lodge
133,Rio De Janeiro,BR,80.01,clear sky,-22.9028,-43.2075,Hotel Málaga
134,Dingle,PH,84.49,clear sky,10.9995,122.6711,SEGAYA PROPERTY
149,Bumba,CD,72.28,overcast clouds,2.1833,22.4667,Hôtel Cape Town
150,Uniao,BR,71.6,heavy intensity rain,-4.5858,-42.8642,Pousada União
151,Damphu,BT,78.49,few clouds,27.0721,90.1096,
152,Moree,AU,78.8,light rain,-29.4667,149.85,Molika Springs Motel
154,Kollam,IN,91.4,haze,8.8833,76.6,Nani Hotels and Resorts
155,Santo Tomas,PH,93.2,scattered clouds,14.1079,121.1414,Microtel by Wyndham Batangas
156,Bato,PH,85.06,few clouds,13.3528,123.3677,Casa de Piedra
157,Mahibadhoo,MV,82.31,broken clouds,3.7833,72.9667,Omadhoo Inn
158,Tabuk,PH,80.6,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
159,Port Augusta,AU,78.01,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
161,Majene,ID,85.08,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
163,Flinders,AU,70.0,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
164,Jieshi,CN,81.0,clear sky,22.8134,115.8257,Yuehai Hotel
165,Bambous Virieux,MU,86.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
168,Mana,GF,75.02,broken clouds,5.6592,-53.7767,LE SAMANA
169,Ambon,ID,86.0,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
172,Matara,LK,83.62,light rain,5.9485,80.5353,Amaloh Boutique Resort
173,Muisne,EC,76.82,light rain,0.6,-80.0333,Quinta Samay
174,Keti Bandar,PK,84.25,clear sky,24.1447,67.4497,Haji laloo memon house
177,Trairi,BR,74.77,scattered clouds,-3.2778,-39.2689,janelas do mar
179,Eyl,SO,86.45,broken clouds,7.9803,49.8164,Amiin Hotel
181,Kieta,PG,80.8,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
184,Mayumba,GA,83.17,light rain,-3.432,10.6554,LIKWALE LODGE
185,Yei,SS,91.2,overcast clouds,4.095,30.6779,City Link Hotel
186,Pitimbu,BR,75.2,few clouds,-7.4706,-34.8086,Reserva do Abiaí
188,Kuching,MY,75.2,light rain,1.55,110.3333,The Ranee Boutique Suites
191,Balabac,PH,84.7,clear sky,7.9868,117.0645,Sing and Swing Lodge
193,Port Moresby,PG,84.2,scattered clouds,-9.4431,147.1797,Lamana Hotel
201,Kruisfontein,ZA,81.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
206,Bima,ID,82.99,overcast clouds,-8.4667,118.7167,Lambitu Hotel
209,San Isidro,PE,73.0,clear sky,-12.1167,-77.05,Soul Mate-Inn
211,Katherine,AU,82.4,scattered clouds,-14.4667,132.2667,Pine Tree Motel
212,Plettenberg Bay,ZA,76.48,clear sky,-34.0527,23.3716,Thanda Vista B&B
214,Yulara,AU,89.6,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
215,Banda Aceh,ID,83.79,broken clouds,5.5577,95.3222,Sulthan Hotel International
219,Chicama,PE,73.09,overcast clouds,-7.8447,-79.1469,Chicama Me Gusta
222,Minna,NG,82.4,scattered clouds,9.6139,6.5569,Royal Park hotel & suites
227,Victoria,HK,82.99,clear sky,22.2855,114.1577,Mini Hotel Central
229,Kavieng,PG,83.64,broken clouds,-2.5744,150.7967,Nusa Island Retreat
230,Buala,SB,80.65,light rain,-8.145,159.5921,Maringe Lagoon Lodge
239,Angoche,MZ,86.14,few clouds,-16.2325,39.9086,Guest House HESADA
240,Gao,ML,88.09,clear sky,16.6362,1.6369999999999998,
243,Gizo,SB,82.99,few clouds,-8.103,156.8419,Imagination Island
247,Sabang,ID,83.5,scattered clouds,5.8933,95.3214,Hotel Citra
254,Monrovia,LR,77.0,mist,6.3005,-10.7969,Sunset Inn
256,Namwala,ZM,77.09,clear sky,-15.7504,26.4384,Corner Point Lodge
257,Zwedru,LR,78.12,overcast clouds,6.0667,-8.1281,Elijah Worjloh
258,Arlit,NE,92.05,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
259,Mahebourg,MU,86.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
263,Tura,IN,92.16,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
265,Bilma,NE,93.29,clear sky,18.6853,12.9164,Expeditions Ténére voyages
266,Blackwater,AU,75.09,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
268,Alofi,NU,77.0,light rain,-19.0595,-169.9187,Taloa Heights
269,La Union,PE,77.83,overcast clouds,-5.4,-80.75,Los Portales
270,Siocon,PH,84.0,broken clouds,7.7061,122.1353,ABS Hotel
272,Gombong,ID,82.63,moderate rain,-7.6072,109.5142,Grafika Hotel Dan Restoran
276,Fuling,CN,75.06,scattered clouds,29.7022,107.3919,Yingbin Hostel
279,Chimbote,PE,71.49,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
282,Agadez,NE,87.01,clear sky,19.75,10.25,
284,Whyalla,AU,77.0,clear sky,-33.0333,137.5833,Foreshore Motor Inn
285,Birao,CF,93.58,overcast clouds,10.2849,22.7882,
288,Acajutiba,BR,70.65,clear sky,-11.6622,-38.0172,Recanto Da Lucinha
291,Oistins,BB,77.0,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
293,Souillac,MU,86.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
298,Salvacion,PH,80.24,overcast clouds,7.9833,126.1333,
301,Dera Bugti,PK,90.91,broken clouds,29.0307,69.15100000000001,Nawab Bugti House
303,Hambantota,LK,84.2,light rain,6.1241,81.1185,Bungalow 63
306,Bata,GQ,84.2,few clouds,1.8639,9.7658,Hotel Carmen
309,Itoman,JP,75.2,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
310,Haimen,CN,80.6,few clouds,23.1935,116.6142,Jinghao Business Hotel
313,Bengkulu,ID,84.18,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
314,Jacqueville,CI,73.4,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
315,Merauke,ID,82.13,overcast clouds,-8.4667,140.3333,PC
316,Kilindoni,TZ,83.73,light rain,-7.9139,39.6668,Bustani B&B
317,Kloulklubed,PW,84.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
318,Isangel,VU,77.92,clear sky,-19.55,169.2667,Volcano Sea View Tree House
322,Buraydah,SA,87.8,clear sky,26.326,43.975,فندق راحة السلام
327,De Aar,ZA,78.48,clear sky,-30.6497,24.0123,Stoneburgh B&B
328,Lorengau,PG,81.75,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
329,Port Lincoln,AU,71.37,clear sky,-34.7333,135.8667,Port Lincoln Hotel
330,Carutapera,BR,76.01,broken clouds,-1.195,-46.02,Lidera
331,Kapenguria,KE,73.8,light rain,1.2511,35.0895,Samaritan Guest House
332,San Policarpo,PH,83.1,clear sky,12.1791,125.5072,JM Lodge
333,Mazagao,BR,75.2,few clouds,-0.115,-51.2894,Recanto dos Ferreiras
336,Sao Filipe,CV,71.78,clear sky,14.8961,-24.4956,Tortuga B&B
338,Betare Oya,CM,82.69,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
339,Inongo,CD,78.64,overcast clouds,-1.95,18.2667,Hotel Du Lac
343,Alugan,PH,82.94,clear sky,12.2188,125.4808,JM Lodge
344,Talara,PE,76.96,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
347,Grand Gaube,MU,84.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
348,Balkanabat,TM,78.64,clear sky,39.5108,54.3671,Nebitchi Hotel
349,Nokaneng,BW,84.83,clear sky,-19.6667,22.2667,
350,Broken Hill,AU,77.0,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
357,Jalingo,NG,92.16,overcast clouds,8.8833,11.3667,Debright Motel
