City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Arica,CL,-18.475,-70.3042,66.2,72,0,4.61,clear sky
200,Igarka,RU,67.4667,86.5833,-9.63,88,90,12.86,overcast clouds
201,Kruisfontein,ZA,-34.0033,24.7314,81.0,63,0,1.99,clear sky
202,San Angelo,US,31.4638,-100.437,44.6,57,1,8.05,clear sky
203,Clyde River,CA,70.4692,-68.5914,-23.8,76,1,4.61,clear sky
204,Codrington,AU,-38.2667,141.9667,61.7,84,0,9.44,clear sky
205,Batagay,RU,67.6333,134.6333,-19.34,92,15,1.83,few clouds
206,Bima,ID,-8.4667,118.7167,82.99,86,86,2.08,overcast clouds
207,Baryatino,RU,54.3121,34.521,32.25,95,93,3.24,overcast clouds
208,Resistencia,AR,-27.4606,-58.9839,68.0,77,90,8.05,light rain
209,San Isidro,PE,-12.1167,-77.05,73.0,83,0,5.75,clear sky
210,Palmer,US,42.1584,-72.3287,37.4,81,90,4.61,overcast clouds
211,Katherine,AU,-14.4667,132.2667,82.4,74,40,6.91,scattered clouds
212,Plettenberg Bay,ZA,-34.0527,23.3716,76.48,60,2,5.08,clear sky
213,Ahipara,NZ,-35.1667,173.1667,60.98,80,3,9.31,clear sky
214,Yulara,AU,-25.2406,130.9889,89.6,12,32,11.5,scattered clouds
215,Banda Aceh,ID,5.5577,95.3222,83.79,72,73,13.18,broken clouds
216,Becov,CZ,50.4497,13.7178,37.0,80,82,8.99,broken clouds
217,Port Macquarie,AU,-31.4333,152.9167,64.99,100,75,5.75,light rain
218,Falun,SE,60.6036,15.626,37.0,60,0,10.36,clear sky
219,Chicama,PE,-7.8447,-79.1469,73.09,73,100,5.5,overcast clouds
220,Shache,CN,38.4167,77.2406,61.03,6,0,14.99,clear sky
221,Tuatapere,NZ,-46.1333,167.6833,55.99,80,55,1.01,broken clouds
222,Minna,NG,9.6139,6.5569,82.4,65,40,19.57,scattered clouds
223,Kjollefjord,NO,70.9457,27.3465,26.6,59,40,34.52,scattered clouds
224,Salinas,US,36.6777,-121.6555,50.0,76,90,2.42,overcast clouds
225,Pathein,MM,16.7833,94.7333,96.91,21,29,14.56,scattered clouds
226,Ocho Rios,JM,18.4025,-77.1048,69.01,95,0,5.88,clear sky
227,Victoria,HK,22.2855,114.1577,82.99,76,9,8.01,clear sky
228,Ribeira Grande,PT,38.5167,-28.7,60.8,88,75,16.11,broken clouds
229,Kavieng,PG,-2.5744,150.7967,83.64,68,53,4.47,broken clouds
230,Buala,SB,-8.145,159.5921,80.65,76,78,0.47,light rain
231,Taungdwingyi,MM,20.0167,95.55,103.62,9,7,9.28,clear sky
232,Dmitriyevka,RU,54.75,55.3333,35.6,55,90,20.13,overcast clouds
